Location,Longitude,Latitude
Mitte,13.38045,52.51376
Charlottenburg,13.30438889,52.52552778
Charlottenburg-Spandau,13.29402034,52.53625419
Charlottenburg-Wilmersdorf,13.22763889,52.5065
Friedrichshain,13.44733616,52.51144617
Hellersdorf,13.60335231,52.53191205
Hellersdorf-Mahlsdorf,13.60117246,52.48255179
Hohenschonhausen,13.50409799,52.5644288
Kreuzberg,13.398054,52.490534
Lichtenberg,13.50827539,52.52176023
Marzahn,13.57016699,52.54851987
Neukolln,13.438141,52.478802
Pankow,13.45874385,52.55557439
Prenzlauer Berg,13.43710799,52.53359529
Reinickendorf,13.323864,52.57009936
Schoneberg,13.355023,52.496171
Schoneberg-Kreuzberg,13.40845809,52.48036276
Spandau,13.20563531,52.54143399
Steglitz,13.34214946,52.45862323
Steglitz-Zehlendorf,13.17622222,52.42147222
Tempelhof,13.38677,52.4713
Templhof-Schoneberg,13.37109775,52.42251984
Treptow-Kopenick,13.46334589,52.49342186
Wedding,13.35924,52.54892
Wilmersdorf,13.285584,52.49824
Tiergarten-Wedding,13.34312,52.52585
