LavatoryID,Description,City,Street,IsOpen24Hours,PostalCode,Location,Country,Longitude,Latitude,Price,isOwnedByWall,isHandicappedAccessible,canBePayedWithCoins,canBePayedInApp,canBePayedWithNFC,hasChangingTable,hasUrinal,LabelID,FID
Fremd_1,Toilette Am Denkmal für die ermordeten Juden Europas (Hannah-Arendt-Straße | Ecke Cora-Berliner-Straße),Berlin,Am Denkmal für die ermordeten Juden Europas (Hannah-Arendt-Straße | Ecke Cora-Berliner-Straße),No Data,10117, Mitte,Deutschland,13.38045,52.51376,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,962
Wall_119993,"Wall CT, Charlottenstr.",Berlin,Charlottenstr. ggü. 53-54 (0-24 Uhr),Yes,10117, Mitte,Deutschland,13.3915,52.51416667,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,218
Wall_122531,"Wall CT, Invalidenstr.",Berlin,Invalidenstr. ggü. 44 (0-24 Uhr),Yes,10117, Mitte,Deutschland,13.37816284,52.52895757,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,148
Wall_120737,"Wall CT, Leipziger Straße Spittelmarkt",Berlin,Leipziger Straße Spittelmarkt (0-24 Uhr),Yes,10117, Mitte,Deutschland,13.4007839,52.5116669,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,758
Wall_3389,"Wall CT, Unter den Linden",Berlin,Unter den Linden 76 (0-24 Uhr),Yes,10117, Mitte,Deutschland,13.38126945,52.51660919,0.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,178
Wall_122395,"Wall CT, Park am Weinbergsweg, Weinbergsweg",Berlin,"Park am Weinbergsweg, Weinbergsweg (0-24 Uhr)",Yes,10119, Mitte,Deutschland,13.40308869,52.53194771,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,880
Wall_5393,Toilette Schönhauser Allee,Berlin,"Senefelderplatz , Metzer Str. (0-24 Uhr)",Yes,10119, Mitte,Deutschland,13.41288889,52.53244444,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,232
Wall_124023,"Wall CT, Weinbergspark, Veteranenstr.",Berlin,"Weinbergspark, Veteranenstr. ggü. 22 (0-24 Uhr)",Yes,10119, Mitte,Deutschland,13.40105178,52.53302967,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,747
Wall_5339,Toilette,Berlin,Alexanderplatz 1 (7-22 Uhr),No,10178, Mitte,Deutschland,13.412954,52.521463,0.5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,2
Wall_5340,Toilette Spandauer Str. (ggü. Nikolaiviertel),Berlin,Rathausstr. ggü. 17 (10-18 Uhr),No,10178, Mitte,Deutschland,13.40641667,52.51847222,0.5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,183
Wall_122572,"Wall CT, Burgstr. (James-Simon-Park)",Berlin,Burgstr. (James-Simon-Park) ggü. 28 (0-24 Uhr),Yes,10178, Mitte,Deutschland,13.40042936,52.52199959,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,22
Wall_122574,"Wall CT, Museumsinsel, Am Lustgarten",Berlin,"Museumsinsel, Am Lustgarten (0-24 Uhr)",Yes,10178, Mitte,Deutschland,13.39989808,52.51946733,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,17
Wall_122530,"Wall CT, Turmstr.",Berlin,Turmstr. ggü. 20a-21 (0-24 Uhr),Yes,10178, Mitte,Deutschland,13.34809497,52.52609309,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,115
Fremd_126,Toilette Rotes Rathaus,Berlin,Rotes Rathaus,No Data,10178,Mitte,Deutschland,13.40631,52.51849,0.5,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,6,975
Wall_124362,"Wall CT, Heinrich-Heine-Str.",Berlin,Heinrich-Heine-Str. 16 (0-24 Uhr),Yes,10179, Mitte,Deutschland,13.41390433,52.50826582,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,748
Wall_120209,"Wall CT, Köllnischer Park, Rungestr.",Berlin,"Köllnischer Park, Rungestr. 31 (0-24 Uhr)",Yes,10179, Mitte,Deutschland,13.41357257,52.51270771,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,116
